model_type,seed,question,importance
xgboost,8,question_f025_religious_denomination__major_groups_choice3.0,1.0519776
xgboost,8,question_f034_religious_person,0.8788191
xgboost,8,question_f144_02_justifiable__death_penalty,0.7182016
xgboost,8,question_f120_justifiable__abortion,0.6830729
xgboost,8,question_f063_how_important_is_god_in_your_life,0.64580226
xgboost,8,question_a065_member__belong_to_religious_organization,0.606257
xgboost,8,question_d054_one_of_main_goals_in_life_has_been_to_make_my_parents_proud,0.5175197
xgboost,8,question_d081_homosexual_couples_are_as_good_parents_as_other_couples,0.5074673
xgboost,8,question_e037_government_responsibility,0.4608447
xgboost,8,question_e028_political_action__joining_unofficial_strikes,0.44136426
xgboost,8,question_e069_06_confidence__the_police,0.43660384
xgboost,8,question_e069_11_confidence__the_government,0.40986064
xgboost,8,question_e227_democracy__people_receive_state_aid_for_unemployment,0.4006202
xgboost,8,question_f114a_justifiable__claiming_government_benefits_to_which_you_are_not_entitled,0.39501175
xgboost,8,question_e069_04_confidence__the_press,0.36842397
xgboost,8,question_e233b_democracy__people_obey_their_rulers,0.36838117
xgboost,8,question_e025_political_action__signing_a_petition,0.3675893
xgboost,8,question_f025_religious_denomination__major_groups_choice7.0,0.3422755
xgboost,8,question_a170_satisfaction_with_your_life,0.3360286
xgboost,8,question_f028_how_often_do_you_attend_religious_services,0.32295424
xgboost,8,question_a006_important_in_life__religion,0.31841427
xgboost,8,question_e035_income_equality,0.31720766
xgboost,8,question_g007_36_b_trust__people_of_another_nationality__b,0.31660295
xgboost,8,question_e265_07_how_often_in_country’s_election__rich_people_buy_elections,0.31092635
xgboost,8,question_e265_08_how_often_in_country’s_elections__voters_are_threatened_with_violence_at_the_polls,0.30760753
xgboost,8,question_f053_believe_in__hell,0.29657176
xgboost,8,question_a004_important_in_life__politics,0.29352424
xgboost,8,question_e015_future_changes__less_importance_placed_on_work,0.27730227
xgboost,8,question_f122_justifiable__euthanasia,0.27254415
xgboost,8,question_f054_believe_in__heaven,0.27022767
xgboost,8,question_e236_democraticness_in_own_country,0.26919448
xgboost,8,question_e265_04_how_often_in_country’s_elections__voters_are_bribed,0.26904407
xgboost,8,question_e265_02_how_often_in_country’s_elections__opposition_candidates_are_prevented_from_running,0.26635766
xgboost,8,question_e264_vote_in_elections__national_level_choice1.0,0.26335096
xgboost,8,question_a002_important_in_life__friends,0.2604013
xgboost,8,question_e233a_democracy__the_state_makes_people's_incomes_equal,0.2508818
xgboost,8,question_a124_08_neighbours__drug_addicts,0.24429257
xgboost,8,question_a124_06_neighbours__immigrants_foreign_workers,0.24137522
xgboost,8,question_a009_state_of_health__subjective,0.24099976
xgboost,8,question_e233_democracy__women_have_the_same_rights_as_men,0.23995404
xgboost,8,question_f119_justifiable__prostitution,0.23963106
xgboost,8,question_e111_01_satisfaction_with_the_political_system,0.23470128
xgboost,8,question_e018_future_changes__greater_respect_for_authority,0.2326919
xgboost,8,question_f118_justifiable__homosexuality,0.2319702
xgboost,8,question_f025_religious_denomination__major_groups_choice5.0,0.23025613
xgboost,8,question_a173_how_much_freedom_of_choice_and_control,0.22873741
xgboost,8,question_g006_how_proud_of_nationality,0.22820367
xgboost,8,question_g007_33_b_trust__people_you_know_personally__b,0.22520582
xgboost,8,question_f025_religious_denomination__major_groups_choice2.0,0.2214808
xgboost,8,question_f132_justifiable__having_casual_sex,0.21987744
xgboost,8,question_e228_democracy__the_army_takes_over_when_government_is_incompetent,0.21981911
xgboost,8,question_a080_02_member__belong_to_self_help_group_mutual_aid_group,0.21972491
xgboost,8,question_e036_private_vs_state_ownership_of_business,0.2193022
xgboost,8,question_f116_justifiable__cheating_on_taxes,0.21776882
xgboost,8,question_f025_religious_denomination__major_groups_choice1.0,0.21722263
xgboost,8,question_g052_evaluate_the_impact_of_immigrants_on_the_development_of__your_country,0.21655118
xgboost,8,question_d001_b_how_much_do_you_trust_your_family__4_point_scale,0.21623778
xgboost,8,question_a072_member__belong_to_professional_associations,0.21161832
xgboost,8,question_f115_justifiable__avoiding_a_fare_on_public_transport,0.19950664
xgboost,8,question_f121_justifiable__divorce,0.19600093
xgboost,8,question_e116_political_system__having_the_army_rule,0.19497281
xgboost,8,question_e290_justifiable__political_violence,0.19273056
xgboost,8,question_e263_vote_in_elections__local_level_choice3.0,0.19129232
xgboost,8,question_e069_02_confidence__armed_forces,0.19018552
xgboost,8,question_c002_01_jobs_scarce__employers_should_give_priority_to__nation__people_than_immigrants__5_point_scale,0.18838991
xgboost,8,question_d026_05_it_is_childs_duty_to_take_care_of_ill_parent,0.18678373
xgboost,8,question_e117_political_system__having_a_democratic_political_system,0.18482879
xgboost,8,question_e033_self_positioning_in_political_scale,0.18166324
xgboost,8,question_c041_work_should_come_first_even_if_it_means_less_spare_time,0.17943762
xgboost,8,question_g063_how_close_you_feel__world,0.1762582
xgboost,8,question_a068_member__belong_to_political_parties,0.17547274
xgboost,8,question_e265_05_how_often_in_country’s_elections__journalists_provide_fair_coverage_of_elections,0.16856316
xgboost,8,question_e265_06_how_often_in_country’s_elections__election_officials_are_fair,0.166057
xgboost,8,question_e069_08_confidence__the_civil_services,0.16556112
xgboost,8,question_c001_jobs_scarce__men_should_have_more_right_to_a_job_than_women__3_categories_choice1.0,0.16272806
xgboost,8,question_e114_political_system__having_a_strong_leader,0.1622524
xgboost,8,question_e069_14_confidence__the_environmental_protection_movement,0.16215828
xgboost,8,question_c001_01_jobs_scarce__men_should_have_more_right_to_a_job_than_women__5_point_scale,0.16130133
xgboost,8,question_a003_important_in_life__leisure_time,0.15909697
xgboost,8,question_e012_willingness_to_fight_for_country,0.1588246
xgboost,8,question_g257_how_close_do_you_feel__to_country,0.15761362
xgboost,8,question_a124_02_neighbours__people_of_a_different_race,0.15673798
xgboost,8,question_g062_how_close_you_feel__continent__e_g_europe_asia_etc,0.15401974
xgboost,8,question_a005_important_in_life__work,0.15162133
xgboost,8,question_e226_democracy__people_choose_their_leaders_in_free_elections,0.14933835
xgboost,8,question_e027_political_action__attending_lawful_peaceful_demonstrations,0.148858
xgboost,8,question_e039_competition_good_or_harmful,0.14846449
xgboost,8,question_e026_political_action__joining_in_boycotts,0.14791216
xgboost,8,question_e225_democracy__religious_authorities_interpret_the_laws,0.14712943
xgboost,8,question_e069_17_confidence__justice_system_courts,0.14430423
xgboost,8,question_f123_justifiable__suicide,0.14377463
xgboost,8,question_e229_democracy__civil_rights_protect_people’s_liberty_against_oppression,0.14335345
xgboost,8,question_d061_pre_school_child_suffers_with_working_mother,0.14320748
xgboost,8,question_c039_work_is_a_duty_towards_society,0.13962969
xgboost,8,question_e023_interest_in_politics,0.1383914
xgboost,8,question_d078_men_make_better_business_executives_than_women_do,0.13723692
xgboost,8,question_d060_university_is_more_important_for_a_boy_than_for_a_girl,0.13472854
xgboost,8,question_e069_12_confidence__the_political_parties,0.13419673
xgboost,8,question_a042_important_child_qualities__obedience,0.13260892
xgboost,8,question_g256_how_close_do_you_feel__to_your_county_region_district,0.13256623
xgboost,8,question_e224_democracy__governments_tax_the_rich_and_subsidize_the_poor,0.13249415
xgboost,8,question_e265_03_how_often_in_country’s_elections__tv_news_favors_the_governing_party,0.13133842
xgboost,8,question_e069_07_confidence__parliament,0.13112925
xgboost,8,question_a032_important_child_qualities__feeling_of_responsibility,0.12960537
xgboost,8,question_a038_important_child_qualities__thrift_saving_money_and_things,0.12741427
xgboost,8,question_f117_justifiable__someone_accepting_a_bribe,0.12380709
xgboost,8,question_c038_people_who_don’t_work_turn_lazy,0.12170148
xgboost,8,question_d059_men_make_better_political_leaders_than_women_do,0.12166056
xgboost,8,question_g027a_respondent_immigrant,0.120863765
xgboost,8,question_e001_aims_of_country__first_choice_choice3.0,0.11848962
xgboost,8,question_e069_01_confidence__churches,0.11630326
xgboost,8,question_e264_vote_in_elections__national_level_choice2.0,0.11624303
xgboost,8,question_h009_government_has_the_right__keep_people_under_video_surveillance_in_public_areas,0.11124366
xgboost,8,question_a124_09_neighbours__homosexuals,0.11106024
xgboost,8,question_a029_important_child_qualities__independence,0.110856555
xgboost,8,question_e069_20_confidence__the_united_nations,0.11023837
xgboost,8,question_c002_jobs_scarce__employers_should_give_priority_to__nation__people_than_immigrants__3_categories_choice1.0,0.10899843
xgboost,8,question_e069_05_confidence__labour_unions,0.10884575
xgboost,8,question_f025_religious_denomination__major_groups_choice0.0,0.10867752
xgboost,8,question_g007_34_b_trust__people_you_meet_for_the_first_time__b,0.108660504
xgboost,8,question_a027_important_child_qualities__good_manners,0.10813495
xgboost,8,question_d026_03_duty_towards_society_to_have_children,0.10720817
xgboost,8,question_a124_03_neighbours__heavy_drinkers,0.106383346
xgboost,8,question_a030_important_child_qualities__hard_work,0.10613784
xgboost,8,question_a034_important_child_qualities__imagination,0.103214614
xgboost,8,question_h010_government_has_the_right__monitor_all_e_mails_and_any_other_information_exchanged_on_the_internet,0.10292895
xgboost,8,question_a008_feeling_of_happiness,0.10237105
xgboost,8,question_e235_importance_of_democracy,0.10149073
xgboost,8,question_e263_vote_in_elections__local_level_choice1.0,0.100964256
xgboost,8,question_a041_important_child_qualities__unselfishness,0.099362396
xgboost,8,question_a066_member__belong_to_education_arts_music_or_cultural_activities,0.09742493
xgboost,8,question_g007_18_b_trust__your_neighborhood__b,0.095623724
xgboost,8,question_e115_political_system__having_experts_make_decisions,0.093012266
xgboost,8,question_g255_how_close_you_feel__your__village_town_or_city,0.09275319
xgboost,8,question_f050_believe_in__god,0.09133024
xgboost,8,question_h011_government_has_the_right__collect_information_about_anyone_living_in__country__without_their_knowledge,0.09082265
xgboost,8,question_a001_important_in_life__family,0.08844053
xgboost,8,question_g005_citizen_of__country,0.08803261
xgboost,8,question_g007_35_b_trust__people_of_another_religion__b,0.08538882
xgboost,8,question_e069_13_confidence__major_companies,0.08472272
xgboost,8,question_f025_religious_denomination__major_groups_choice6.0,0.08396886
xgboost,8,question_c001_jobs_scarce__men_should_have_more_right_to_a_job_than_women__3_categories_choice2.0,0.08374793
xgboost,8,question_f025_religious_denomination__major_groups_choice8.0,0.082956634
xgboost,8,question_e265_01_how_often_in_country’s_elections__votes_are_counted_fairly,0.08158276
xgboost,8,question_a040_important_child_qualities__religious_faith,0.07938223
xgboost,8,question_a074_member__belong_to_sports_or_recreation,0.076891504
xgboost,8,question_a165_most_people_can_be_trusted,0.07613724
