model_type,seed,question,importance
xgboost,4,question_f025_religious_denomination__major_groups_choice3.0,1.0023093
xgboost,4,question_f034_religious_person,0.8808211
xgboost,4,question_f144_02_justifiable__death_penalty,0.67448634
xgboost,4,question_f120_justifiable__abortion,0.6584069
xgboost,4,question_f063_how_important_is_god_in_your_life,0.61538523
xgboost,4,question_a065_member__belong_to_religious_organization,0.5921563
xgboost,4,question_d081_homosexual_couples_are_as_good_parents_as_other_couples,0.5656117
xgboost,4,question_d054_one_of_main_goals_in_life_has_been_to_make_my_parents_proud,0.53089625
xgboost,4,question_e037_government_responsibility,0.44927576
xgboost,4,question_e069_06_confidence__the_police,0.43763992
xgboost,4,question_e028_political_action__joining_unofficial_strikes,0.4227633
xgboost,4,question_f114a_justifiable__claiming_government_benefits_to_which_you_are_not_entitled,0.42174074
xgboost,4,question_e227_democracy__people_receive_state_aid_for_unemployment,0.3861196
xgboost,4,question_e069_11_confidence__the_government,0.3743611
xgboost,4,question_f025_religious_denomination__major_groups_choice7.0,0.3658986
xgboost,4,question_e069_04_confidence__the_press,0.3651317
xgboost,4,question_e035_income_equality,0.36118814
xgboost,4,question_f028_how_often_do_you_attend_religious_services,0.35670242
xgboost,4,question_g007_36_b_trust__people_of_another_nationality__b,0.34674388
xgboost,4,question_e233b_democracy__people_obey_their_rulers,0.337118
xgboost,4,question_e265_08_how_often_in_country’s_elections__voters_are_threatened_with_violence_at_the_polls,0.32414153
xgboost,4,question_e025_political_action__signing_a_petition,0.3239386
xgboost,4,question_a006_important_in_life__religion,0.31858033
xgboost,4,question_a170_satisfaction_with_your_life,0.31438977
xgboost,4,question_e264_vote_in_elections__national_level_choice1.0,0.30125323
xgboost,4,question_e265_04_how_often_in_country’s_elections__voters_are_bribed,0.29980698
xgboost,4,question_e015_future_changes__less_importance_placed_on_work,0.29909644
xgboost,4,question_a004_important_in_life__politics,0.29080212
xgboost,4,question_e265_02_how_often_in_country’s_elections__opposition_candidates_are_prevented_from_running,0.28492516
xgboost,4,question_e265_07_how_often_in_country’s_election__rich_people_buy_elections,0.27853376
xgboost,4,question_a002_important_in_life__friends,0.2765108
xgboost,4,question_a124_06_neighbours__immigrants_foreign_workers,0.26925984
xgboost,4,question_f119_justifiable__prostitution,0.26849023
xgboost,4,question_f054_believe_in__heaven,0.26787403
xgboost,4,question_a009_state_of_health__subjective,0.2638722
xgboost,4,question_f053_believe_in__hell,0.2596168
xgboost,4,question_e233_democracy__women_have_the_same_rights_as_men,0.25957868
xgboost,4,question_e290_justifiable__political_violence,0.2488494
xgboost,4,question_f132_justifiable__having_casual_sex,0.24615481
xgboost,4,question_f025_religious_denomination__major_groups_choice5.0,0.24576814
xgboost,4,question_e236_democraticness_in_own_country,0.23694474
xgboost,4,question_c002_01_jobs_scarce__employers_should_give_priority_to__nation__people_than_immigrants__5_point_scale,0.23690313
xgboost,4,question_f122_justifiable__euthanasia,0.23225349
xgboost,4,question_f118_justifiable__homosexuality,0.23021115
xgboost,4,question_e111_01_satisfaction_with_the_political_system,0.22913775
xgboost,4,question_g052_evaluate_the_impact_of_immigrants_on_the_development_of__your_country,0.22621888
