model_type,seed,question,importance
xgboost,7,question_f025_religious_denomination__major_groups_choice3.0,1.0422527
xgboost,7,question_f034_religious_person,0.9212329
xgboost,7,question_f144_02_justifiable__death_penalty,0.69296265
xgboost,7,question_f120_justifiable__abortion,0.654884
xgboost,7,question_f063_how_important_is_god_in_your_life,0.60820085
xgboost,7,question_a065_member__belong_to_religious_organization,0.5869616
xgboost,7,question_d054_one_of_main_goals_in_life_has_been_to_make_my_parents_proud,0.52283275
xgboost,7,question_d081_homosexual_couples_are_as_good_parents_as_other_couples,0.50305724
xgboost,7,question_e037_government_responsibility,0.4502926
xgboost,7,question_f114a_justifiable__claiming_government_benefits_to_which_you_are_not_entitled,0.43362805
xgboost,7,question_e069_06_confidence__the_police,0.4318545
xgboost,7,question_e028_political_action__joining_unofficial_strikes,0.4172544
xgboost,7,question_e069_04_confidence__the_press,0.38823625
xgboost,7,question_e227_democracy__people_receive_state_aid_for_unemployment,0.37913045
xgboost,7,question_e233b_democracy__people_obey_their_rulers,0.3748115
xgboost,7,question_f025_religious_denomination__major_groups_choice7.0,0.35586342
xgboost,7,question_a006_important_in_life__religion,0.35277084
xgboost,7,question_e069_11_confidence__the_government,0.35056627
xgboost,7,question_e265_08_how_often_in_country’s_elections__voters_are_threatened_with_violence_at_the_polls,0.34511524
xgboost,7,question_f028_how_often_do_you_attend_religious_services,0.33811003
xgboost,7,question_e025_political_action__signing_a_petition,0.33435646
xgboost,7,question_a170_satisfaction_with_your_life,0.32749656
xgboost,7,question_g007_36_b_trust__people_of_another_nationality__b,0.32122296
xgboost,7,question_c001_01_jobs_scarce__men_should_have_more_right_to_a_job_than_women__5_point_scale,0.31794438
xgboost,7,question_e035_income_equality,0.31436554
xgboost,7,question_e264_vote_in_elections__national_level_choice1.0,0.31399527
xgboost,7,question_e015_future_changes__less_importance_placed_on_work,0.3095857
xgboost,7,question_e233_democracy__women_have_the_same_rights_as_men,0.3075938
xgboost,7,question_f054_believe_in__heaven,0.30647242
xgboost,7,question_a004_important_in_life__politics,0.3016914
xgboost,7,question_f119_justifiable__prostitution,0.28925166
xgboost,7,question_f053_believe_in__hell,0.28867844
xgboost,7,question_a124_06_neighbours__immigrants_foreign_workers,0.2770352
xgboost,7,question_e265_04_how_often_in_country’s_elections__voters_are_bribed,0.27699488
xgboost,7,question_e265_07_how_often_in_country’s_election__rich_people_buy_elections,0.2683069
xgboost,7,question_f122_justifiable__euthanasia,0.26548848
xgboost,7,question_e265_02_how_often_in_country’s_elections__opposition_candidates_are_prevented_from_running,0.26350063
xgboost,7,question_e111_01_satisfaction_with_the_political_system,0.25837028
xgboost,7,question_a002_important_in_life__friends,0.25268388
xgboost,7,question_e236_democraticness_in_own_country,0.25196466
xgboost,7,question_c001_jobs_scarce__men_should_have_more_right_to_a_job_than_women__3_categories_choice1.0,0.24414381
xgboost,7,question_f025_religious_denomination__major_groups_choice5.0,0.2439467
xgboost,7,question_a173_how_much_freedom_of_choice_and_control,0.24097736
xgboost,7,question_e018_future_changes__greater_respect_for_authority,0.23956
xgboost,7,question_a009_state_of_health__subjective,0.2353051
xgboost,7,question_f025_religious_denomination__major_groups_choice1.0,0.23206927
xgboost,7,question_f118_justifiable__homosexuality,0.23074368
xgboost,7,question_g052_evaluate_the_impact_of_immigrants_on_the_development_of__your_country,0.22783802
xgboost,7,question_f116_justifiable__cheating_on_taxes,0.22645882
xgboost,7,question_f132_justifiable__having_casual_sex,0.22557081
xgboost,7,question_e233a_democracy__the_state_makes_people's_incomes_equal,0.22456698
xgboost,7,question_f025_religious_denomination__major_groups_choice2.0,0.2233462
xgboost,7,question_a072_member__belong_to_professional_associations,0.21246304
xgboost,7,question_c002_01_jobs_scarce__employers_should_give_priority_to__nation__people_than_immigrants__5_point_scale,0.21054731
xgboost,7,question_e290_justifiable__political_violence,0.20796871
xgboost,7,question_a080_02_member__belong_to_self_help_group_mutual_aid_group,0.20699082
xgboost,7,question_e036_private_vs_state_ownership_of_business,0.20677477
xgboost,7,question_a124_08_neighbours__drug_addicts,0.20670451
xgboost,7,question_e228_democracy__the_army_takes_over_when_government_is_incompetent,0.20597003
xgboost,7,question_d001_b_how_much_do_you_trust_your_family__4_point_scale,0.2055951
xgboost,7,question_e117_political_system__having_a_democratic_political_system,0.20529865
xgboost,7,question_f115_justifiable__avoiding_a_fare_on_public_transport,0.20329753
xgboost,7,question_d026_05_it_is_childs_duty_to_take_care_of_ill_parent,0.20174535
xgboost,7,question_e069_02_confidence__armed_forces,0.19849955
xgboost,7,question_g006_how_proud_of_nationality,0.19720063
xgboost,7,question_g007_33_b_trust__people_you_know_personally__b,0.1951075
xgboost,7,question_f121_justifiable__divorce,0.19218485
xgboost,7,question_e265_06_how_often_in_country’s_elections__election_officials_are_fair,0.18936993
xgboost,7,question_e033_self_positioning_in_political_scale,0.18321675
xgboost,7,question_e069_14_confidence__the_environmental_protection_movement,0.1780378
xgboost,7,question_e116_political_system__having_the_army_rule,0.17418908
xgboost,7,question_a068_member__belong_to_political_parties,0.17363223
xgboost,7,question_e027_political_action__attending_lawful_peaceful_demonstrations,0.17007725
xgboost,7,question_e263_vote_in_elections__local_level_choice3.0,0.17003734
xgboost,7,question_e069_08_confidence__the_civil_services,0.16917223
xgboost,7,question_g062_how_close_you_feel__continent__e_g_europe_asia_etc,0.1691721
xgboost,7,question_f050_believe_in__god,0.1634491
xgboost,7,question_e023_interest_in_politics,0.15932158
xgboost,7,question_e114_political_system__having_a_strong_leader,0.15853572
xgboost,7,question_g063_how_close_you_feel__world,0.15510066
xgboost,7,question_a124_02_neighbours__people_of_a_different_race,0.15478571
xgboost,7,question_e226_democracy__people_choose_their_leaders_in_free_elections,0.15117317
xgboost,7,question_e069_01_confidence__churches,0.15088618
