model_type,seed,question,importance
logistic_regression,6,question_f025_religious_denomination__major_groups_choice3.0,0.8938128354719568
logistic_regression,6,question_f034_religious_person,0.6185272624249696
logistic_regression,6,question_a065_member__belong_to_religious_organization,0.3818362746264436
logistic_regression,6,question_f144_02_justifiable__death_penalty,0.3363277942366139
logistic_regression,6,question_f120_justifiable__abortion,0.3299367453699194
logistic_regression,6,question_d054_one_of_main_goals_in_life_has_been_to_make_my_parents_proud,0.31999049574128924
logistic_regression,6,question_d081_homosexual_couples_are_as_good_parents_as_other_couples,0.31343312898347997
logistic_regression,6,question_e069_06_confidence__the_police,0.28561260772916414
logistic_regression,6,question_g007_36_b_trust__people_of_another_nationality__b,0.27653088298300066
logistic_regression,6,question_f025_religious_denomination__major_groups_choice7.0,0.27493093977347827
logistic_regression,6,question_f063_how_important_is_god_in_your_life,0.2676556956877569
logistic_regression,6,question_f025_religious_denomination__major_groups_choice1.0,0.2545549521347797
logistic_regression,6,question_e028_political_action__joining_unofficial_strikes,0.2544056040812557
logistic_regression,6,question_f114a_justifiable__claiming_government_benefits_to_which_you_are_not_entitled,0.22660918349867587
logistic_regression,6,question_e227_democracy__people_receive_state_aid_for_unemployment,0.22273928201173945
logistic_regression,6,question_e025_political_action__signing_a_petition,0.22008843473210427
logistic_regression,6,question_e233b_democracy__people_obey_their_rulers,0.20076808376083016
logistic_regression,6,question_f053_believe_in__hell,0.19462095584332836
logistic_regression,6,question_e069_11_confidence__the_government,0.1933881016067233
logistic_regression,6,question_f025_religious_denomination__major_groups_choice2.0,0.18858438095223087
logistic_regression,6,question_a124_06_neighbours__immigrants_foreign_workers,0.18575374079574655
logistic_regression,6,question_e264_vote_in_elections__national_level_choice2.0,0.18473050363887827
logistic_regression,6,question_f025_religious_denomination__major_groups_choice5.0,0.18459923428769795
logistic_regression,6,question_e069_04_confidence__the_press,0.18437820976300348
logistic_regression,6,question_f054_believe_in__heaven,0.17789226290536772
logistic_regression,6,question_e265_07_how_often_in_country’s_election__rich_people_buy_elections,0.1739624614807566
logistic_regression,6,question_f119_justifiable__prostitution,0.1711465696997818
logistic_regression,6,question_a002_important_in_life__friends,0.17051093748295812
logistic_regression,6,question_a004_important_in_life__politics,0.16340070981686822
logistic_regression,6,question_a170_satisfaction_with_your_life,0.1467919010581865
logistic_regression,6,question_a072_member__belong_to_professional_associations,0.1466962414265321
logistic_regression,6,question_e069_17_confidence__justice_system_courts,0.14359625333480874
logistic_regression,6,question_a080_02_member__belong_to_self_help_group_mutual_aid_group,0.14269212082856847
logistic_regression,6,question_e263_vote_in_elections__local_level_choice1.0,0.14022228757256128
logistic_regression,6,question_a040_important_child_qualities__religious_faith,0.13886313708626447
logistic_regression,6,question_f122_justifiable__euthanasia,0.13861529012825827
logistic_regression,6,question_e265_06_how_often_in_country’s_elections__election_officials_are_fair,0.13853654871387433
logistic_regression,6,question_e265_08_how_often_in_country’s_elections__voters_are_threatened_with_violence_at_the_polls,0.13732803083127706
logistic_regression,6,question_e035_income_equality,0.13643411894419522
logistic_regression,6,question_a124_08_neighbours__drug_addicts,0.13581645397097297
logistic_regression,6,question_c001_01_jobs_scarce__men_should_have_more_right_to_a_job_than_women__5_point_scale,0.135645815009411
logistic_regression,6,question_e069_14_confidence__the_environmental_protection_movement,0.13058807833424774
logistic_regression,6,question_e263_vote_in_elections__local_level_choice3.0,0.1297335506912931
logistic_regression,6,question_e037_government_responsibility,0.12961286150741724
logistic_regression,6,question_d001_b_how_much_do_you_trust_your_family__4_point_scale,0.12638386530856047
logistic_regression,6,question_e233a_democracy__the_state_makes_people's_incomes_equal,0.12347610666381591
logistic_regression,6,question_e027_political_action__attending_lawful_peaceful_demonstrations,0.12267613242094211
logistic_regression,6,question_a009_state_of_health__subjective,0.12170247515867287
logistic_regression,6,question_f116_justifiable__cheating_on_taxes,0.11911989839038949
logistic_regression,6,question_a124_02_neighbours__people_of_a_different_race,0.11276109734418732
logistic_regression,6,question_e116_political_system__having_the_army_rule,0.11101729133767742
logistic_regression,6,question_a173_how_much_freedom_of_choice_and_control,0.11074212886191606
logistic_regression,6,question_e265_04_how_often_in_country’s_elections__voters_are_bribed,0.11026260402712824
logistic_regression,6,question_a068_member__belong_to_political_parties,0.11023678931358452
logistic_regression,6,question_e265_02_how_often_in_country’s_elections__opposition_candidates_are_prevented_from_running,0.10566056181807815
logistic_regression,6,question_e069_08_confidence__the_civil_services,0.10564247507861907
logistic_regression,6,question_f025_religious_denomination__major_groups_choice0.0,0.10517595271648159
logistic_regression,6,question_g052_evaluate_the_impact_of_immigrants_on_the_development_of__your_country,0.10407370847179173
logistic_regression,6,question_e117_political_system__having_a_democratic_political_system,0.10014272833619485
logistic_regression,6,question_a038_important_child_qualities__thrift_saving_money_and_things,0.09790113311616627
logistic_regression,6,question_e018_future_changes__greater_respect_for_authority,0.09725727768729843
logistic_regression,6,question_e264_vote_in_elections__national_level_choice3.0,0.09178553087960058
logistic_regression,6,question_e226_democracy__people_choose_their_leaders_in_free_elections,0.09110506208388787
logistic_regression,6,question_g006_how_proud_of_nationality,0.09090108314023927
logistic_regression,6,question_g007_33_b_trust__people_you_know_personally__b,0.09076565639958573
logistic_regression,6,question_c002_01_jobs_scarce__employers_should_give_priority_to__nation__people_than_immigrants__5_point_scale,0.0906834992469445
logistic_regression,6,question_e264_vote_in_elections__national_level_choice1.0,0.08824163464957659
logistic_regression,6,question_e228_democracy__the_army_takes_over_when_government_is_incompetent,0.08059944879533888
logistic_regression,6,question_a006_important_in_life__religion,0.07943879035258038
logistic_regression,6,question_d060_university_is_more_important_for_a_boy_than_for_a_girl,0.07919850340826118
logistic_regression,6,question_e069_07_confidence__parliament,0.07831536062425692
logistic_regression,6,question_e001_aims_of_country__first_choice_choice3.0,0.07779453168303627
logistic_regression,6,question_a042_important_child_qualities__obedience,0.07773164573259866
logistic_regression,6,question_d026_05_it_is_childs_duty_to_take_care_of_ill_parent,0.07772551619979894
logistic_regression,6,question_e236_democraticness_in_own_country,0.07656368100978891
logistic_regression,6,question_f121_justifiable__divorce,0.07639709380157515
logistic_regression,6,question_e235_importance_of_democracy,0.07562038514103808
logistic_regression,6,question_f115_justifiable__avoiding_a_fare_on_public_transport,0.06991647442900209
logistic_regression,6,question_h011_government_has_the_right__collect_information_about_anyone_living_in__country__without_their_knowledge,0.06838041462346105
logistic_regression,6,question_c001_jobs_scarce__men_should_have_more_right_to_a_job_than_women__3_categories_choice2.0,0.06680329046583962
logistic_regression,6,question_e111_01_satisfaction_with_the_political_system,0.0656956749617454
logistic_regression,6,question_g007_35_b_trust__people_of_another_religion__b,0.06536967677052777
logistic_regression,6,question_e036_private_vs_state_ownership_of_business,0.06501803794924164
logistic_regression,6,question_c002_jobs_scarce__employers_should_give_priority_to__nation__people_than_immigrants__3_categories_choice1.0,0.06422820294512133
logistic_regression,6,question_c001_jobs_scarce__men_should_have_more_right_to_a_job_than_women__3_categories_choice3.0,0.06243950325114933
logistic_regression,6,question_a001_important_in_life__family,0.06235320486733683
logistic_regression,6,question_d078_men_make_better_business_executives_than_women_do,0.061474919731523435
logistic_regression,6,question_c038_people_who_don’t_work_turn_lazy,0.061115128231499484
logistic_regression,6,question_g256_how_close_do_you_feel__to_your_county_region_district,0.05982352946813375
logistic_regression,6,question_e233_democracy__women_have_the_same_rights_as_men,0.058949144018446274
logistic_regression,6,question_e265_05_how_often_in_country’s_elections__journalists_provide_fair_coverage_of_elections,0.05797920670059538
logistic_regression,6,question_g255_how_close_you_feel__your__village_town_or_city,0.05756386835795385
logistic_regression,6,question_a066_member__belong_to_education_arts_music_or_cultural_activities,0.05715973283822638
logistic_regression,6,question_g007_34_b_trust__people_you_meet_for_the_first_time__b,0.057137129075675315
logistic_regression,6,question_e002_aims_of_country__second_choice_choice3.0,0.05634595352741032
