model_type,seed,question,importance
xgboost,5,question_f025_religious_denomination__major_groups_choice3.0,1.0494896
xgboost,5,question_f034_religious_person,0.90124196
xgboost,5,question_f144_02_justifiable__death_penalty,0.7057105
xgboost,5,question_f120_justifiable__abortion,0.6564802
xgboost,5,question_a065_member__belong_to_religious_organization,0.63185275
xgboost,5,question_f063_how_important_is_god_in_your_life,0.6119766
xgboost,5,question_d054_one_of_main_goals_in_life_has_been_to_make_my_parents_proud,0.53643185
xgboost,5,question_d081_homosexual_couples_are_as_good_parents_as_other_couples,0.506122
xgboost,5,question_e028_political_action__joining_unofficial_strikes,0.4716633
xgboost,5,question_e069_06_confidence__the_police,0.45786637
xgboost,5,question_e037_government_responsibility,0.4535507
xgboost,5,question_f114a_justifiable__claiming_government_benefits_to_which_you_are_not_entitled,0.4069516
xgboost,5,question_e227_democracy__people_receive_state_aid_for_unemployment,0.39633754
xgboost,5,question_e069_04_confidence__the_press,0.38319623
xgboost,5,question_e069_11_confidence__the_government,0.38060066
xgboost,5,question_e233b_democracy__people_obey_their_rulers,0.37176165
xgboost,5,question_f025_religious_denomination__major_groups_choice7.0,0.3684574
xgboost,5,question_e025_political_action__signing_a_petition,0.3486918
xgboost,5,question_a170_satisfaction_with_your_life,0.34522828
xgboost,5,question_a006_important_in_life__religion,0.34060916
xgboost,5,question_g007_36_b_trust__people_of_another_nationality__b,0.33834895
xgboost,5,question_f053_believe_in__hell,0.33674517
xgboost,5,question_f028_how_often_do_you_attend_religious_services,0.3346814
xgboost,5,question_e035_income_equality,0.3337611
xgboost,5,question_e265_08_how_often_in_country’s_elections__voters_are_threatened_with_violence_at_the_polls,0.3144416
xgboost,5,question_e265_07_how_often_in_country’s_election__rich_people_buy_elections,0.29241332
xgboost,5,question_a004_important_in_life__politics,0.2914434
xgboost,5,question_f122_justifiable__euthanasia,0.2911691
xgboost,5,question_e265_02_how_often_in_country’s_elections__opposition_candidates_are_prevented_from_running,0.28870812
xgboost,5,question_e015_future_changes__less_importance_placed_on_work,0.28821704
xgboost,5,question_a124_06_neighbours__immigrants_foreign_workers,0.26858595
xgboost,5,question_f054_believe_in__heaven,0.26380494
xgboost,5,question_e265_04_how_often_in_country’s_elections__voters_are_bribed,0.2598958
xgboost,5,question_f119_justifiable__prostitution,0.25903043
xgboost,5,question_a009_state_of_health__subjective,0.25812685
xgboost,5,question_e233_democracy__women_have_the_same_rights_as_men,0.25721186
xgboost,5,question_c002_01_jobs_scarce__employers_should_give_priority_to__nation__people_than_immigrants__5_point_scale,0.2550012
xgboost,5,question_e236_democraticness_in_own_country,0.25325972
xgboost,5,question_a002_important_in_life__friends,0.24905379
xgboost,5,question_e264_vote_in_elections__national_level_choice1.0,0.24411166
xgboost,5,question_a173_how_much_freedom_of_choice_and_control,0.24171792
xgboost,5,question_f118_justifiable__homosexuality,0.23806404
xgboost,5,question_f025_religious_denomination__major_groups_choice5.0,0.2372035
xgboost,5,question_g006_how_proud_of_nationality,0.235779
xgboost,5,question_e018_future_changes__greater_respect_for_authority,0.2340492
xgboost,5,question_e290_justifiable__political_violence,0.23123877
xgboost,5,question_g007_33_b_trust__people_you_know_personally__b,0.23115112
xgboost,5,question_e233a_democracy__the_state_makes_people's_incomes_equal,0.22962008
xgboost,5,question_f132_justifiable__having_casual_sex,0.2245562
xgboost,5,question_g052_evaluate_the_impact_of_immigrants_on_the_development_of__your_country,0.22362335
xgboost,5,question_e228_democracy__the_army_takes_over_when_government_is_incompetent,0.22324735
xgboost,5,question_e036_private_vs_state_ownership_of_business,0.22001906
xgboost,5,question_d001_b_how_much_do_you_trust_your_family__4_point_scale,0.21849829
xgboost,5,question_f025_religious_denomination__major_groups_choice2.0,0.21496803
xgboost,5,question_f116_justifiable__cheating_on_taxes,0.21416046
xgboost,5,question_f115_justifiable__avoiding_a_fare_on_public_transport,0.21344334
xgboost,5,question_a072_member__belong_to_professional_associations,0.21226601
xgboost,5,question_e111_01_satisfaction_with_the_political_system,0.21173967
xgboost,5,question_e116_political_system__having_the_army_rule,0.20732254
xgboost,5,question_e265_06_how_often_in_country’s_elections__election_officials_are_fair,0.20477651
xgboost,5,question_a124_08_neighbours__drug_addicts,0.2044123
xgboost,5,question_a080_02_member__belong_to_self_help_group_mutual_aid_group,0.20151429
xgboost,5,question_f025_religious_denomination__major_groups_choice1.0,0.20005955
xgboost,5,question_d026_05_it_is_childs_duty_to_take_care_of_ill_parent,0.19916624
xgboost,5,question_c001_01_jobs_scarce__men_should_have_more_right_to_a_job_than_women__5_point_scale,0.19516878
xgboost,5,question_e117_political_system__having_a_democratic_political_system,0.1916317
xgboost,5,question_e069_02_confidence__armed_forces,0.18751241
xgboost,5,question_e033_self_positioning_in_political_scale,0.17907394
xgboost,5,question_a068_member__belong_to_political_parties,0.17615701
